name,team,battingStyle,bowlingStyle,playingRole,description
Ankush Nanda,Luxembourg,Right hand Bat,Right arm Medium fast,,
George Burrows,Isle of Man,Right hand Bat,,Top order Batter,
Charlie Brennan,Jersey,Right hand Bat,Right arm Medium fast,,
Khalid Shah,United Arab Emirates,Left hand Bat,,Opening Batter,
Ramesh Satheesan(c),Romania,Right hand Bat,Right arm Offbreak,,
Shivam Dube,,Left hand Bat,Right arm Medium,Allrounder,
Abdullah Jasat,Panama,Right hand Bat,Left arm Medium,,
Sami Rahmani,Sweden,Right hand Bat,Right arm Medium,,
Shahidullah,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Richard Hatchman,Gibraltar,Right hand Bat,Right arm Medium,Middle order Batter,
Akhil Arjunan,Finland,Right hand Bat,Legbreak,,
Faheem Nazir,Switzerland,Left hand Bat,Right arm Medium,,
Bogdan Dugic,Serbia,Right hand Bat,Right arm Fast,,
Shehzad Patel,Eswatini,,,Wicketkeeper Batter,
Ramon Sealy(c),Cayman Islands,Right hand Bat,Legbreak,,
Sinclair Smith ,Bermuda,Right hand Bat,,Middle order Batter,
Tom Latham(c) ,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years."
Derrick Brangman,Bermuda,Left hand Bat,Slow Left arm Orthodox,,
Richie Berrington(c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012"
Henry Shipley,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,
Zain Ul Abidin,Saudi Arabia,Left hand Bat,Slow Left arm Orthodox,,
Ademola Onikoyi,Nigeria,Right hand Bat,Legbreak,,
Faizan Patel,Panama,Right hand Bat,Right arm Medium,,
Mohammad Shahzad ,Afghanistan,Right hand Bat,,Wicketkeeper Batter,"One of the most entertaining batsmen in the Associate cricket world, and one who never shies away from theatrically celebrating even the most mundane milestones, Mohammad Shahzad is a throwback player to a time when a bulging waistline would be excused by most coaches and selectors as long as it coincided with a bulging runs column on the scoresheet. Shahzad has proven his worth time and again with a series of thrilling batting displays, often producing his own version of the helicopter shot, and his fearlessness at the crease makes him one of the few Associate batsmen capable of standing toe-to-toe against Full Member opposition."
Ibrahim Nashath,Maldives,Right hand Bat,Right arm Medium,,
Roston Chase,West Indies,Right hand Bat,Right arm Offbreak,Allrounder,"A tall offspin-bowling allrounder from Barbados, Roston Chase won a place in West Indies' Test team after strong showings with bat and ball in the 2015-16 Professional Cricket League. He scored 710 runs in ten matches at an average of 59.16, bowled more than he ever had in the past, and took 23 wickets at an average of 17.26 (including twin five-fors in a match against Guyana)."
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,
DoyleCalle,Spain,Right hand Bat,,,
Kenardo Fletcher,Switzerland,Left hand Bat,Left arm Medium fast,,
Waseem Abbas,Malta,Right hand Bat,Right arm Fast,,
Ali Nayyer(c),Switzerland,,,Bowler,
Mmoloki Mooketsi,Botswana,Left hand Bat,Slow Left arm Orthodox,,
Alex Sawyer,Gibraltar,Right hand Bat,Right arm Medium,,
Sylvester Okpe,Nigeria,Right hand Bat,Right arm Offbreak,,
Alistair Ifill,Cayman Islands,Right hand Bat,Legbreak,,
Narawit Nuntarach,Thailand,Right hand Bat,Right arm Medium,,
Kofi Bagabena,Ghana,Right hand Bat,Right arm Medium,,
Jos Buttler(c) ,England,Right hand Bat,,Wicketkeeper Batter,
Kamron Senamontree,Thailand,Right hand Bat,Right arm Medium fast,,
Lorcan Tucker ,Ireland,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Lorcan Tucker, who was among Ireland's first batch of contracted cricketers, made his international debut in 2016, before he played his first first-class game the following year.  His father and brothers also played the game; Tucker and his younger brother Fiachra both figured in the 2016 Ireland Under-19 World Cup squad."
Isaac Okpe,Nigeria,Right hand Bat,Right arm Medium,,
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams."
Taranjit Bharaj,Denmark,Right hand Bat,Right arm Offbreak,,
Orchide Tuyisenge,Rwanda,Right hand Bat,,,
Alejandro Ferguson,Argentina,Right hand Bat,,,
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Mohammad Kamran,Spain,Right hand Bat,Left arm Medium,,
Dollin Jansen,Isle of Man,Left hand Bat,Left arm Medium,,
Wintley Burton,Serbia,Right hand Bat,Right arm Medium fast,,
Khalid Ahmadi,Belgium,Right hand Bat,Right arm Medium fast,,
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
Zaid Soulat,Bulgaria,Right hand Bat,Right arm Offbreak,,
Leslie Dunbar ,Serbia,Right hand Bat,,,
Alexander Dizija,Serbia,Right hand Bat,Right arm Offbreak,,
Mustafizur Rahman,,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Kapil Kumar,Philippines,Right hand Bat,Right arm Fast,,
Lega Siaka,Papua New Guinea,Right hand Bat,"Right arm Fast medium, Legbreak",Opening Batter,"
Batter Lega Siaka was part of the side that played Papua New Guinea's very first ODI, after they got status in the format in 2014 following their fourth-place finish in the World Cup Qualifier that year. In the next game, Siaka anchored a chase of 262 with a hundred, putting on a partnership of 65 with former England keeper Geraint Jones, who played for PNG in the 2010s."
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
Peter Aho,Nigeria,Right hand Bat,Right arm Medium fast,,
Brandon Mavuta,Zimbabwe,Right hand Bat,Legbreak,Allrounder,
Handre Klazinge,Namibia,Right hand Bat,Right arm Fast,Bowler,
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace."
Ryan Burl(c),Zimbabwe,Left hand Bat,Legbreak,Allrounder,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League."
Rezza Gaznavi(c),Singapore,Right hand Bat,Legbreak,Batter,
Robinson Obuya,Uganda,Right hand Bat,,,
Raoul Sharma,Singapore,Right hand Bat,Right arm Medium,,
Brian Corbin,Cayman Islands,Right hand Bat,,,
Matthew Cross ,Scotland,Right hand Bat,,Wicketkeeper Batter,"A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year."
Noor Ahmad,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,
Razmal Shigiwal(c),Austria,Right hand Bat,Right arm Medium,,
Iqbal Hossain,,Right hand Bat,Right arm Offbreak,,
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,
Sediqullah Atal,Afghanistan,Left hand Bat,,Opening Batter,
Luke Le Tissier,Guernsey,Right hand Bat,Right arm Offbreak,,
Romeo Dunka,Cayman Islands,Left hand Bat,Left arm Medium,,
Aditya Paul,Estonia,Right hand Bat,Right arm Medium fast,,
Usman Najeeb,Saudi Arabia,Right hand Bat,Right arm Medium,,
Mohamed Azzam,Maldives,Right hand Bat,,,
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,
Tre Manders,Bermuda,Right hand Bat,,,
Sulaimon Runsewe ,Nigeria,Right hand Bat,Right arm Offbreak,,
Yuzvendra Chahal,India,Right hand Bat,Legbreak Googly,Bowler,
Joseph Theodore ,Ghana,Right hand Bat,,Wicketkeeper Batter,
Mukhtar Ghulami,France,Right hand Bat,,,
Carl Hartmann ,Isle of Man,Right hand Bat,,Wicketkeeper Batter,
Ibrahim Zadran(c),Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
CP Rizwan(c),United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter,"Born in Kerala, Rizwan is a right-hand batter and legbreak bowler. As a youngster, he moved to the UAE with his family but returned to India for his studies, playing U-19 and U-23 cricket for Kerala. In 2014 he moved back to the UAE and made his ODI debut in January 2019 against Nepal. One week later, Rizwan made his T20I debut, and in 2022 was named the T20I captain."
Clinton Rubagumya,Rwanda,Right hand Bat,Right arm Medium,,
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016."
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,
Fraser Clarke,Isle of Man,Right hand Bat,Right arm Offbreak,,
Vijayshankar Chikkannaiah,Germany,Right hand Bat,,,
Graham Hume,Ireland,Left hand Bat,Right arm Fast medium,Bowler,"Graham Hume is a left-hand batsman and right-arm medium pacer who compares his style to South African fast bowler Charl Langeveldt but whose hero is AB de Villiers. He was named in South Africa's squad for the Under-19 World Cup in New Zealand in January 2010 and he was his team's leading wicket-taker with 13 wickets. Cricinfo staff January 2010
"
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. 
